timestamp, temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], power.draw [W]
2026/07/20 13:50:58.457, 66, 975 MHz, 0 %, 24.87 W
2026/07/20 13:50:59.471, 66, 975 MHz, 3 %, 25.03 W
2026/07/20 13:51:00.477, 66, 975 MHz, 4 %, 25.16 W
2026/07/20 13:51:01.481, 66, 975 MHz, 0 %, 25.02 W
2026/07/20 13:51:02.485, 66, 960 MHz, 0 %, 24.02 W
2026/07/20 13:51:03.490, 66, 975 MHz, 2 %, 25.22 W
2026/07/20 13:51:04.494, 66, 975 MHz, 1 %, 25.12 W
2026/07/20 13:51:05.500, 66, 960 MHz, 0 %, 23.58 W
2026/07/20 13:51:06.507, 66, 960 MHz, 0 %, 13.45 W
2026/07/20 13:51:07.516, 67, 975 MHz, 3 %, 25.33 W
2026/07/20 13:51:08.521, 67, 975 MHz, 0 %, 25.27 W
2026/07/20 13:51:09.529, 67, 960 MHz, 0 %, 22.79 W
2026/07/20 13:51:10.542, 67, 975 MHz, 0 %, 25.25 W
2026/07/20 13:51:11.547, 67, 975 MHz, 3 %, 25.36 W
2026/07/20 13:51:12.552, 67, 960 MHz, 0 %, 22.53 W
2026/07/20 13:51:13.557, 66, 960 MHz, 0 %, 12.04 W
2026/07/20 13:51:14.562, 67, 975 MHz, 3 %, 25.45 W
2026/07/20 13:51:15.567, 67, 975 MHz, 0 %, 25.21 W
2026/07/20 13:51:16.571, 67, 960 MHz, 0 %, 22.05 W
2026/07/20 13:51:17.577, 67, 975 MHz, 0 %, 25.54 W
2026/07/20 13:51:18.581, 68, 975 MHz, 3 %, 25.52 W
2026/07/20 13:51:19.588, 67, 960 MHz, 0 %, 21.41 W
2026/07/20 13:51:20.594, 67, 960 MHz, 0 %, 12.22 W
2026/07/20 13:51:21.606, 68, 975 MHz, 3 %, 25.42 W
2026/07/20 13:51:22.611, 68, 975 MHz, 0 %, 25.66 W
2026/07/20 13:51:23.615, 67, 960 MHz, 0 %, 20.77 W
2026/07/20 13:51:24.621, 68, 975 MHz, 0 %, 25.72 W
2026/07/20 13:51:25.625, 68, 975 MHz, 2 %, 25.81 W
2026/07/20 13:51:26.630, 68, 975 MHz, 0 %, 25.52 W
2026/07/20 13:51:27.636, 68, 975 MHz, 0 %, 25.63 W
2026/07/20 13:51:28.642, 68, 975 MHz, 0 %, 25.71 W
2026/07/20 13:51:29.646, 68, 975 MHz, 0 %, 25.78 W
2026/07/20 13:51:30.650, 68, 960 MHz, 0 %, 19.36 W
2026/07/20 13:51:31.655, 68, 960 MHz, 0 %, 11.83 W
2026/07/20 13:51:32.661, 68, 960 MHz, 0 %, 11.93 W
2026/07/20 13:51:33.668, 67, 960 MHz, 0 %, 12.07 W
2026/07/20 13:51:34.673, 67, 960 MHz, 0 %, 11.85 W
2026/07/20 13:51:35.679, 67, 960 MHz, 0 %, 11.74 W
2026/07/20 13:51:36.685, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:51:37.690, 67, 960 MHz, 0 %, 11.80 W
2026/07/20 13:51:38.696, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:51:39.703, 67, 960 MHz, 0 %, 11.78 W
2026/07/20 13:51:40.708, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:51:41.714, 67, 960 MHz, 10 %, 11.85 W
2026/07/20 13:51:42.720, 67, 960 MHz, 0 %, 11.89 W
2026/07/20 13:51:43.726, 67, 960 MHz, 0 %, 11.68 W
2026/07/20 13:51:44.731, 67, 960 MHz, 0 %, 11.59 W
2026/07/20 13:51:45.738, 67, 960 MHz, 0 %, 11.81 W
2026/07/20 13:51:46.745, 67, 960 MHz, 0 %, 11.75 W
2026/07/20 13:51:47.751, 67, 960 MHz, 0 %, 11.73 W
2026/07/20 13:51:48.756, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:51:49.763, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:51:50.769, 67, 960 MHz, 0 %, 11.60 W
2026/07/20 13:51:51.774, 66, 960 MHz, 0 %, 11.69 W
2026/07/20 13:51:52.780, 67, 960 MHz, 0 %, 11.61 W
2026/07/20 13:51:53.787, 67, 960 MHz, 0 %, 11.68 W
2026/07/20 13:51:54.793, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:51:55.799, 66, 960 MHz, 0 %, 11.65 W
2026/07/20 13:51:56.804, 66, 960 MHz, 0 %, 11.63 W
2026/07/20 13:51:57.810, 66, 960 MHz, 0 %, 11.78 W
2026/07/20 13:51:58.816, 67, 960 MHz, 0 %, 19.51 W
2026/07/20 13:51:59.821, 67, 960 MHz, 16 %, 11.75 W
2026/07/20 13:52:00.827, 67, 960 MHz, 0 %, 11.74 W
2026/07/20 13:52:01.833, 66, 960 MHz, 0 %, 11.66 W
2026/07/20 13:52:02.839, 66, 960 MHz, 0 %, 11.97 W
2026/07/20 13:52:03.845, 66, 960 MHz, 0 %, 11.87 W
2026/07/20 13:52:04.850, 66, 960 MHz, 0 %, 11.78 W
2026/07/20 13:52:05.856, 66, 960 MHz, 0 %, 11.63 W
2026/07/20 13:52:06.861, 66, 960 MHz, 0 %, 11.78 W
2026/07/20 13:52:07.867, 66, 960 MHz, 0 %, 11.79 W
2026/07/20 13:52:08.872, 66, 960 MHz, 0 %, 11.85 W
2026/07/20 13:52:09.878, 66, 960 MHz, 0 %, 11.83 W
2026/07/20 13:52:10.884, 66, 960 MHz, 0 %, 11.81 W
2026/07/20 13:52:11.889, 67, 975 MHz, 0 %, 10.90 W
2026/07/20 13:52:12.897, 66, 975 MHz, 1 %, 17.91 W
2026/07/20 13:52:14.007, 67, 975 MHz, 2 %, 25.39 W
2026/07/20 13:52:15.012, 67, 975 MHz, 0 %, 25.31 W
2026/07/20 13:52:16.020, 68, 975 MHz, 0 %, 25.49 W
2026/07/20 13:52:17.024, 68, 975 MHz, 0 %, 25.54 W
2026/07/20 13:52:18.028, 68, 975 MHz, 0 %, 25.54 W
2026/07/20 13:52:19.033, 67, 960 MHz, 11 %, 11.78 W
2026/07/20 13:52:20.040, 67, 960 MHz, 0 %, 11.70 W
2026/07/20 13:52:21.045, 67, 960 MHz, 0 %, 12.26 W
2026/07/20 13:52:22.057, 68, 975 MHz, 2 %, 25.58 W
2026/07/20 13:52:23.062, 68, 975 MHz, 0 %, 25.59 W
2026/07/20 13:52:24.068, 68, 975 MHz, 0 %, 25.71 W
2026/07/20 13:52:25.073, 68, 975 MHz, 0 %, 25.65 W
2026/07/20 13:52:26.078, 68, 975 MHz, 0 %, 25.66 W
2026/07/20 13:52:27.083, 68, 975 MHz, 0 %, 25.54 W
2026/07/20 13:52:28.089, 68, 960 MHz, 0 %, 11.81 W
2026/07/20 13:52:29.095, 67, 960 MHz, 0 %, 11.75 W
2026/07/20 13:52:30.102, 67, 960 MHz, 0 %, 11.62 W
2026/07/20 13:52:31.109, 67, 960 MHz, 0 %, 11.46 W
2026/07/20 13:52:32.115, 67, 960 MHz, 0 %, 11.62 W
2026/07/20 13:52:33.122, 67, 960 MHz, 0 %, 11.62 W
2026/07/20 13:52:34.129, 67, 960 MHz, 0 %, 11.47 W
2026/07/20 13:52:35.136, 67, 960 MHz, 0 %, 11.50 W
2026/07/20 13:52:36.142, 67, 960 MHz, 0 %, 11.56 W
2026/07/20 13:52:37.149, 67, 960 MHz, 0 %, 11.40 W
2026/07/20 13:52:38.156, 67, 960 MHz, 3 %, 11.56 W
2026/07/20 13:52:39.165, 67, 960 MHz, 5 %, 11.57 W
2026/07/20 13:52:40.171, 67, 960 MHz, 0 %, 11.63 W
2026/07/20 13:52:41.177, 67, 960 MHz, 0 %, 11.60 W
2026/07/20 13:52:42.184, 67, 960 MHz, 0 %, 11.55 W
2026/07/20 13:52:43.191, 67, 960 MHz, 0 %, 11.36 W
2026/07/20 13:52:44.198, 67, 960 MHz, 0 %, 11.50 W
2026/07/20 13:52:45.204, 67, 960 MHz, 0 %, 13.04 W
2026/07/20 13:52:46.209, 68, 975 MHz, 0 %, 25.55 W
2026/07/20 13:52:47.216, 68, 975 MHz, 0 %, 25.51 W
2026/07/20 13:52:48.221, 67, 960 MHz, 0 %, 11.55 W
2026/07/20 13:52:49.227, 67, 960 MHz, 0 %, 11.64 W
2026/07/20 13:52:50.233, 67, 960 MHz, 0 %, 11.66 W
2026/07/20 13:52:51.238, 67, 960 MHz, 0 %, 11.66 W
2026/07/20 13:52:52.245, 67, 960 MHz, 0 %, 11.53 W
2026/07/20 13:52:53.250, 67, 960 MHz, 0 %, 11.48 W
2026/07/20 13:52:54.257, 67, 960 MHz, 0 %, 11.45 W
2026/07/20 13:52:55.264, 67, 960 MHz, 0 %, 11.54 W
2026/07/20 13:52:56.271, 67, 960 MHz, 0 %, 11.56 W
2026/07/20 13:52:57.276, 67, 960 MHz, 15 %, 11.64 W
2026/07/20 13:52:58.281, 67, 960 MHz, 0 %, 11.57 W
2026/07/20 13:52:59.288, 67, 960 MHz, 0 %, 11.64 W
2026/07/20 13:53:00.294, 67, 960 MHz, 0 %, 11.70 W
2026/07/20 13:53:01.300, 67, 960 MHz, 0 %, 11.67 W
2026/07/20 13:53:02.306, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:53:03.312, 67, 960 MHz, 0 %, 11.83 W
2026/07/20 13:53:04.319, 67, 960 MHz, 0 %, 11.75 W
2026/07/20 13:53:05.325, 67, 960 MHz, 0 %, 11.72 W
2026/07/20 13:53:06.330, 67, 960 MHz, 0 %, 11.68 W
2026/07/20 13:53:07.336, 67, 960 MHz, 0 %, 11.70 W
2026/07/20 13:53:08.344, 67, 960 MHz, 0 %, 11.67 W
2026/07/20 13:53:09.349, 67, 960 MHz, 0 %, 11.55 W
2026/07/20 13:53:10.356, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:53:11.364, 67, 960 MHz, 0 %, 11.80 W
2026/07/20 13:53:12.370, 67, 960 MHz, 0 %, 11.80 W
2026/07/20 13:53:13.376, 67, 960 MHz, 0 %, 11.80 W
2026/07/20 13:53:14.381, 68, 960 MHz, 0 %, 19.49 W
2026/07/20 13:53:15.387, 67, 960 MHz, 22 %, 11.81 W
2026/07/20 13:53:16.393, 67, 960 MHz, 0 %, 11.79 W
2026/07/20 13:53:17.398, 67, 960 MHz, 0 %, 11.67 W
2026/07/20 13:53:18.405, 68, 975 MHz, 0 %, 25.54 W
2026/07/20 13:53:19.409, 68, 975 MHz, 2 %, 25.50 W
2026/07/20 13:53:20.413, 68, 975 MHz, 0 %, 25.65 W
2026/07/20 13:53:21.418, 68, 975 MHz, 0 %, 25.64 W
2026/07/20 13:53:22.424, 69, 975 MHz, 0 %, 25.70 W
2026/07/20 13:53:23.428, 69, 975 MHz, 0 %, 25.81 W
2026/07/20 13:53:24.433, 69, 975 MHz, 0 %, 25.83 W
2026/07/20 13:53:25.437, 68, 960 MHz, 0 %, 11.84 W
2026/07/20 13:53:26.443, 68, 960 MHz, 0 %, 11.83 W
2026/07/20 13:53:27.450, 68, 960 MHz, 0 %, 11.85 W
2026/07/20 13:53:28.456, 68, 960 MHz, 0 %, 11.82 W
2026/07/20 13:53:29.462, 68, 960 MHz, 0 %, 11.81 W
2026/07/20 13:53:30.468, 68, 960 MHz, 0 %, 11.77 W
2026/07/20 13:53:31.476, 68, 960 MHz, 0 %, 11.73 W
2026/07/20 13:53:32.482, 68, 960 MHz, 0 %, 11.80 W
2026/07/20 13:53:33.488, 68, 960 MHz, 0 %, 11.75 W
2026/07/20 13:53:34.494, 68, 960 MHz, 9 %, 11.76 W
2026/07/20 13:53:35.501, 68, 960 MHz, 0 %, 11.82 W
2026/07/20 13:53:36.506, 68, 960 MHz, 0 %, 11.78 W
2026/07/20 13:53:37.512, 67, 960 MHz, 0 %, 11.85 W
2026/07/20 13:53:38.518, 67, 960 MHz, 0 %, 11.83 W
2026/07/20 13:53:39.524, 68, 960 MHz, 0 %, 11.77 W
2026/07/20 13:53:40.529, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:53:41.535, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:53:42.541, 67, 960 MHz, 0 %, 11.72 W
2026/07/20 13:53:43.547, 67, 960 MHz, 0 %, 11.73 W
2026/07/20 13:53:44.553, 67, 960 MHz, 0 %, 11.89 W
2026/07/20 13:53:45.558, 67, 960 MHz, 0 %, 11.86 W
2026/07/20 13:53:46.564, 67, 960 MHz, 0 %, 11.79 W
2026/07/20 13:53:47.570, 67, 960 MHz, 0 %, 11.67 W
2026/07/20 13:53:48.576, 67, 960 MHz, 0 %, 11.78 W
2026/07/20 13:53:49.582, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:53:50.588, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:53:51.594, 67, 960 MHz, 0 %, 11.54 W
2026/07/20 13:53:52.599, 67, 975 MHz, 13 %, 11.72 W
2026/07/20 13:53:53.605, 67, 975 MHz, 0 %, 11.68 W
2026/07/20 13:53:54.611, 67, 960 MHz, 0 %, 11.81 W
2026/07/20 13:53:55.616, 67, 960 MHz, 0 %, 11.66 W
2026/07/20 13:53:56.622, 67, 960 MHz, 0 %, 11.78 W
2026/07/20 13:53:57.628, 67, 960 MHz, 0 %, 11.66 W
2026/07/20 13:53:58.633, 67, 960 MHz, 0 %, 11.78 W
2026/07/20 13:53:59.639, 67, 960 MHz, 0 %, 11.78 W
2026/07/20 13:54:00.645, 67, 960 MHz, 0 %, 11.88 W
2026/07/20 13:54:01.651, 67, 960 MHz, 0 %, 11.78 W
2026/07/20 13:54:02.657, 67, 960 MHz, 0 %, 11.67 W
2026/07/20 13:54:03.662, 67, 960 MHz, 0 %, 11.61 W
2026/07/20 13:54:04.668, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:54:05.674, 67, 960 MHz, 0 %, 11.74 W
2026/07/20 13:54:06.680, 67, 960 MHz, 0 %, 11.75 W
2026/07/20 13:54:07.685, 67, 960 MHz, 0 %, 11.76 W
2026/07/20 13:54:08.691, 67, 960 MHz, 0 %, 11.69 W
2026/07/20 13:54:09.698, 67, 960 MHz, 0 %, 14.74 W
2026/07/20 13:54:10.707, 68, 1020 MHz, 22 %, 25.70 W
2026/07/20 13:54:11.711, 68, 1020 MHz, 0 %, 25.74 W
2026/07/20 13:54:12.714, 67, 960 MHz, 0 %, 11.60 W
2026/07/20 13:54:13.720, 68, 975 MHz, 2 %, 25.63 W
2026/07/20 13:54:14.724, 68, 975 MHz, 0 %, 25.54 W
2026/07/20 13:54:15.728, 68, 975 MHz, 0 %, 25.59 W
2026/07/20 13:54:16.732, 69, 975 MHz, 0 %, 25.68 W
2026/07/20 13:54:17.738, 69, 975 MHz, 0 %, 25.83 W
2026/07/20 13:54:18.742, 69, 975 MHz, 0 %, 25.78 W
2026/07/20 13:54:19.746, 69, 975 MHz, 0 %, 25.80 W
2026/07/20 13:54:20.752, 69, 960 MHz, 0 %, 11.93 W
2026/07/20 13:54:21.758, 68, 960 MHz, 0 %, 11.90 W
2026/07/20 13:54:22.764, 68, 960 MHz, 0 %, 11.71 W
2026/07/20 13:54:23.770, 68, 960 MHz, 0 %, 11.79 W
2026/07/20 13:54:24.776, 68, 960 MHz, 0 %, 11.77 W
2026/07/20 13:54:25.783, 68, 960 MHz, 0 %, 11.86 W
2026/07/20 13:54:26.789, 68, 960 MHz, 0 %, 11.80 W
2026/07/20 13:54:27.795, 68, 960 MHz, 0 %, 11.64 W
2026/07/20 13:54:28.801, 68, 960 MHz, 0 %, 11.65 W
2026/07/20 13:54:29.807, 68, 960 MHz, 0 %, 16.51 W
2026/07/20 13:54:30.813, 68, 960 MHz, 6 %, 11.94 W
2026/07/20 13:54:31.819, 68, 960 MHz, 0 %, 11.91 W
2026/07/20 13:54:32.825, 68, 960 MHz, 0 %, 11.97 W
2026/07/20 13:54:33.831, 68, 960 MHz, 0 %, 12.01 W
2026/07/20 13:54:34.837, 68, 960 MHz, 0 %, 11.97 W
2026/07/20 13:54:35.843, 68, 960 MHz, 0 %, 11.90 W
2026/07/20 13:54:36.848, 68, 960 MHz, 0 %, 11.96 W
2026/07/20 13:54:37.854, 68, 960 MHz, 0 %, 11.89 W
2026/07/20 13:54:38.860, 68, 960 MHz, 0 %, 11.92 W
2026/07/20 13:54:39.866, 68, 960 MHz, 0 %, 11.92 W
2026/07/20 13:54:40.872, 68, 960 MHz, 0 %, 11.99 W
2026/07/20 13:54:41.878, 68, 960 MHz, 0 %, 11.94 W
2026/07/20 13:54:42.884, 68, 960 MHz, 0 %, 11.93 W
2026/07/20 13:54:43.890, 68, 960 MHz, 0 %, 12.01 W
2026/07/20 13:54:44.896, 68, 960 MHz, 0 %, 11.93 W
2026/07/20 13:54:45.902, 68, 960 MHz, 0 %, 11.84 W
2026/07/20 13:54:46.908, 68, 960 MHz, 0 %, 11.94 W
2026/07/20 13:54:47.914, 68, 960 MHz, 0 %, 19.96 W
2026/07/20 13:54:48.919, 68, 960 MHz, 11 %, 11.70 W
2026/07/20 13:54:49.924, 68, 960 MHz, 0 %, 11.74 W
2026/07/20 13:54:50.930, 68, 960 MHz, 0 %, 11.83 W
2026/07/20 13:54:51.936, 68, 960 MHz, 0 %, 11.97 W
2026/07/20 13:54:52.945, 68, 960 MHz, 0 %, 11.77 W
2026/07/20 13:54:53.950, 68, 960 MHz, 0 %, 11.73 W
2026/07/20 13:54:54.956, 68, 960 MHz, 0 %, 11.85 W
2026/07/20 13:54:55.962, 68, 960 MHz, 0 %, 11.74 W
2026/07/20 13:54:56.968, 68, 960 MHz, 0 %, 11.72 W
2026/07/20 13:54:57.973, 68, 960 MHz, 0 %, 11.55 W
2026/07/20 13:54:58.980, 68, 960 MHz, 0 %, 11.77 W
2026/07/20 13:54:59.986, 68, 960 MHz, 0 %, 11.78 W
2026/07/20 13:55:00.992, 68, 960 MHz, 0 %, 11.76 W
2026/07/20 13:55:01.998, 68, 960 MHz, 0 %, 11.75 W
2026/07/20 13:55:03.004, 68, 960 MHz, 0 %, 11.68 W
2026/07/20 13:55:04.010, 68, 960 MHz, 0 %, 11.91 W
2026/07/20 13:55:05.016, 68, 960 MHz, 0 %, 11.78 W
2026/07/20 13:55:06.022, 68, 960 MHz, 11 %, 19.60 W
2026/07/20 13:55:07.027, 68, 960 MHz, 13 %, 11.82 W
2026/07/20 13:55:08.034, 68, 960 MHz, 0 %, 11.79 W
2026/07/20 13:55:09.040, 68, 960 MHz, 0 %, 11.61 W
2026/07/20 13:55:10.046, 69, 975 MHz, 2 %, 25.61 W
2026/07/20 13:55:11.051, 69, 975 MHz, 0 %, 25.80 W
2026/07/20 13:55:12.058, 69, 975 MHz, 0 %, 25.91 W
2026/07/20 13:55:13.062, 69, 975 MHz, 0 %, 25.96 W
2026/07/20 13:55:14.066, 69, 975 MHz, 0 %, 25.85 W
2026/07/20 13:55:15.071, 70, 975 MHz, 0 %, 25.95 W
2026/07/20 13:55:16.075, 69, 960 MHz, 0 %, 11.82 W
